1,1/NP,P/ KLANG,NORTH PORT STRAITS (NKS) UP TO BP, 533.00 , 0.00 ,Port Klang
147,7/NS,N SEMBILAN,SENAWANG, 1464.00 , 70.60 ,Negeri Sembilan
148,7/NS,N SEMBILAN,SEREMBAN, 1464.00 , 66.40 ,Negeri Sembilan
149,7/NS,N SEMBILAN,SEREMBAN INDUSTRIAL AREA," 1,464.00 ", 66.40 ,Negeri Sembilan
150,7/NS,N SEMBILAN,REMBAU / CHEMBONG," 1,536.00 ", 79.60 ,Negeri Sembilan
151,7/NS,N SEMBILAN,SILIAU," 1,568.00 ", 79.60 ,Negeri Sembilan
152,7/NS,N SEMBILAN,RANTAU," 1,601.00 ", 70.60 ,Negeri Sembilan
153,7/NS,N SEMBILAN,JELEBU," 1,637.00 ", 70.60 ,Negeri Sembilan
154,7/NS,N SEMBILAN,KUALA PILAH," 1,637.00 ", 92.00 ,Negeri Sembilan
155,7/NS,N SEMBILAN,PORT DICKSON," 1,673.00 ", 91.80 ,Negeri Sembilan
156,7/NS,N SEMBILAN,"BAHAU, SERTING"," 1,752.00 ", 70.60 ,Negeri Sembilan
157,7/NS,N SEMBILAN,GEMENCHIH," 1,774.00 ", 92.00 ,Negeri Sembilan
158,7/NS,N SEMBILAN,JOHOL," 1,776.00 ", 92.00 ,Negeri Sembilan
159,7/NS,N SEMBILAN,PASIR PANJANG," 1,805.00 ", 92.00 ,Negeri Sembilan
160,7/NS,N SEMBILAN,GEMAS," 1,918.00 ", 92.00 ,Negeri Sembilan
161,7/NS,N SEMBILAN,TAMPIN," 1,688.00 ", 92.00 ,Negeri Sembilan
162,8/MK,MELAKA,ALOR GAJAH," 1,714.00 ", 92.00 ,Melaka
163,8/MK,MELAKA,AIR MOLEK," 1,832.00 ", 92.00 ,Melaka
164,8/MK,MELAKA,KEM TERENDAK," 1,714.00 ", 92.00 ,Melaka
165,8/MK,MELAKA,BUKIT RAMBAI," 1,738.00 ", 92.00 ,Melaka
166,8/MK,MELAKA,TANJUNG KELING / TANGGA BATU," 1,738.00 ", 92.00 ,Melaka
167,8/MK,MELAKA,AIR KEROH INDUSTRIAL AREA," 1,762.00 ", 103.40 ,Melaka
168,8/MK,MELAKA,MASJID TANAH," 1,762.00 ", 92.00 ,Melaka
169,8/MK,MELAKA,DURIAN TUNGGAL," 1,767.00 ", 103.40 ,Melaka
170,8/MK,MELAKA,PAYA RUMPUT," 1,767.00 ", 92.00 ,Melaka
171,8/MK,MELAKA,TEBONG ESTATE," 1,776.00 ", 103.40 ,Melaka
172,8/MK,MELAKA,BATU BERENDAM," 1,810.00 ", 103.40 ,Melaka
173,8/MK,MELAKA,CHENG INDUSTRIAL," 1,810.00 ", 92.00 ,Melaka
174,8/MK,MELAKA,KERUBONG," 1,810.00 ", 92.00 ,Melaka
175,8/MK,MELAKA,KLEBANG BESAR," 1,810.00 ", 103.40 ,Melaka
176,8/MK,MELAKA,KOTA MELAKA / MALIM JAYA," 1,810.00 ", 103.40 ,Melaka
177,8/MK,MELAKA,KUALA SUNGEI BARU," 1,810.00 ", 92.00 ,Melaka
178,8/MK,MELAKA,JASIN," 1,858.00 ", 112.40 ,Melaka
179,8/MK,MELAKA,MERLIMAU," 1,858.00 ", 103.40 ,Melaka
180,9/JH,JOHOR,TANGKAK," 1,925.00 ", 117.80 ,Johor
181,9/JH,JOHOR,MUAR," 1,997.00 ", 117.80 ,Johor
182,9/JH,JOHOR,SEGAMAT," 2,040.00 ", 117.80 ,Johor
183,9/JH,JOHOR,PAGOH," 2,096.00 ", 133.20 ,Johor
184,9/JH,JOHOR,KERATONG," 2,163.00 ", 92.00 ,Johor
185,9/JH,JOHOR,LABIS," 2,177.00 ", 156.40 ,Johor
186,9/JH,JOHOR,BATU PAHAT," 2,235.00 ", 167.00 ,Johor
187,9/JH,JOHOR,AIR HITAM," 2,350.00 ", 167.00 ,Johor
188,9/JH,JOHOR,YONG PENG," 2,364.00 ", 156.40 ,Johor
189,9/JH,JOHOR,KUALA SEDELI," 2,429.00 ", 167.00 ,Johor
190,9/JH,JOHOR,KLUANG," 2,436.00 ", 167.00 ,Johor
191,9/JH,JOHOR,PALOH," 2,494.00 ", 156.40 ,Johor
192,9/JH,JOHOR,BENUT / SIMPANG RENGAM," 2,530.00 ", 178.60 ,Johor
193,9/JH,JOHOR,KULAI," 2,638.00 ", 196.00 ,Johor
194,9/JH,JOHOR,SKUDAI," 2,782.00 ", 211.00 ,Johor
195,9/JH,JOHOR,TAMPOI," 2,782.00 ", 211.00 ,Johor
196,9/JH,JOHOR,JOHOR BAHRU," 2,818.00 ", 211.00 ,Johor
197,9/JH,JOHOR,PASIR GUDANG," 2,818.00 ", 211.00 ,Johor
198,9/JH,JOHOR,PEKAN NENAS," 2,818.00 ", 211.00 ,Johor
199,9/JH,JOHOR,SENAI," 2,688.00 ", 206.00 ,Johor
200,9/JH,JOHOR,ULU TIRAM," 2,840.00 ", 167.00 ,Johor
201,9/JH,JOHOR,PONTIAN KECIL," 2,883.00 ", 202.80 ,Johor
202,9/JH,JOHOR,MERSING," 2,912.00 ", 202.80 ,Johor
203,9/JH,JOHOR,KOTA TINGGI / TELUK RUMANIA," 2,926.00 ", 196.00 ,Johor
204,9/PR,PERAK,TANJUNG MALIM," 1,515.00 ", 59.80 ,Perak
205,9/PR,PERAK,HUTAN MELINTANG," 1,580.00 ", 66.00 ,Perak
206,9/PR,PERAK,HUTAN MELINTANG(UNITATA)," 1,580.00 ", 66.00 ,Perak
207,9/PR,PERAK,BEHRANG," 1,584.00 ", 66.00 ,Perak
208,9/PR,PERAK,FRAZERS' HILL," 1,608.00 ", 36.60 ,Perak
209,9/PR,PERAK,SLIM RIVER," 1,616.00 ", 74.60 ,Perak
210,9/PR,PERAK,TELUK INTAN," 1,616.00 ", 92.40 ,Perak
211,9/PR,PERAK,BAGAN DATOH," 1,702.00 ", 66.00 ,Perak
212,9/PR,PERAK,KANDAR," 1,714.00 ", 92.40 ,Perak
213,9/PR,PERAK,LANGKAP," 1,726.00 ", 92.40 ,Perak
214,9/PR,PERAK,BIDOR," 1,788.00 ", 92.40 ,Perak
215,9/PR,PERAK,TAPAH (CHENDERING)," 1,824.00 ", 99.60 ,Perak
216,9/PR,PERAK,KAMPAR / TEMOH," 1,932.00 ", 99.60 ,Perak
217,9/PR,PERAK,BATU GAJAH / PUSING," 1,968.00 ", 127.60 ,Perak
218,9/PR,PERAK,KUALA DIPANG," 1,976.00 ", 127.60 ,Perak
219,9/PR,PERAK,CAMERON HIGHLAND," 1,983.00 ", 99.60 ,Perak
220,9/PR,PERAK,RINGLET-CAMERON H/LAND-55KM FM TAPAH," 1,983.00 ", 99.60 ,Perak
221,9/PR,PERAK,RINGLET-CAMERON H/LAND-60KM FM TAPAH," 1,997.00 ", 99.60 ,Perak
222,9/PR,PERAK,GOPENG," 2,019.00 ", 115.80 ,Perak
223,9/PR,PERAK,MALIM NAWAR," 2,019.00 ", 115.80 ,Perak
224,9/PR,PERAK,"IPOH,MENGLEMBU TASEK IND.AREA"," 2,048.00 ", 127.60 ,Perak
225,9/PR,PERAK,TANJUNG RAMBUTAN," 2,098.00 ", 127.60 ,Perak
226,9/PR,PERAK,CHEMOR," 2,127.00 ", 127.60 ,Perak
227,9/PR,PERAK,BATU KURAU," 2,163.00 ", 161.80 ,Perak
228,9/PR,PERAK,PARIT," 2,163.00 ", 115.80 ,Perak
229,9/PR,PERAK,KUALA KANGSAR," 2,213.00 ", 141.60 ,Perak
230,9/PR,PERAK,BRUAS," 2,249.00 ", 127.60 ,Perak
231,9/PR,PERAK,SUNGAI SIPUT," 2,278.00 ", 141.60 ,Perak
232,9/PR,PERAK,AIR TAWAR," 2,307.00 ", 127.60 ,Perak
233,9/PR,PERAK,PADANG RENGAS," 2,326.00 ", 141.60 ,Perak
234,9/PR,PERAK,CHANGKAT JERING," 2,328.00 ", 153.20 ,Perak
235,9/PR,PERAK,SITIAWAN," 2,328.00 ", 127.60 ,Perak
236,9/PR,PERAK,TAIPING / KAMUNTING," 2,328.00 ", 161.80 ,Perak
237,9/PR,PERAK,LENGGONG," 2,360.00 ", 141.60 ,Perak
238,9/PR,PERAK,PANTAI REMIS," 2,328.00 ", 127.60 ,Perak
239,9/PR,PERAK,LUMUT," 2,386.00 ", 127.60 ,Perak
240,9/PR,PERAK,PORT WELD," 2,393.00 ", 153.20 ,Perak
241,9/PR,PERAK,BAGAN SERAI," 2,487.00 ", 168.20 ,Perak
242,9/PR,PERAK,KUALA KURAU," 2,523.00 ", 161.80 ,Perak
243,9/PR,PERAK,SELAMA," 2,537.00 ", 161.80 ,Perak
244,9/PR,PERAK,PARIT BUNTAR," 2,645.00 ", 177.40 ,Perak
245,9/PR,PERAK,GRIK," 2,753.00 ", 141.60 ,Perak
246,9/PR,PERAK,KROH," 2,948.00 ", 141.60 ,Perak
247,9/PH,PAHANG,BENTONG / JANDA BAIK," 1,500.00 ", 99.00 ,Pahang
248,9/PH,PAHANG,KARAK," 1,594.00 ", 99.00 ,Pahang
249,9/PH,PAHANG,RAUB," 1,688.00 ", 99.00 ,Pahang
250,9/PH,PAHANG,LANCHANG," 1,695.00 ", 115.60 ,Pahang
251,9/PH,PAHANG,MENTAKAB," 1,767.00 ", 135.00 ,Pahang
252,9/PH,PAHANG,TEMERLOH," 1,817.00 ", 135.00 ,Pahang
253,9/PH,PAHANG,KUALA LIPIS," 1,932.00 ", 99.00 ,Pahang
254,9/PH,PAHANG,TERIANG," 1,968.00 ", 135.00 ,Pahang
255,9/PH,PAHANG,MARAN," 2,026.00 ", 172.60 ,Pahang
256,9/PH,PAHANG,JERANTUT," 2,033.00 ", 99.00 ,Pahang
257,9/PH,PAHANG,JENGKA PUSAT," 2,134.00 ", 145.20 ,Pahang
258,9/PH,PAHANG,KUALA ROMPIN / ENDAU ROMPIN," 2,148.00 ", 216.80 ,Pahang
259,9/PH,PAHANG,GAMBANG," 2,206.00 ", 200.20 ,Pahang
260,9/PH,PAHANG,KUANTAN," 2,328.00 ", 216.80 ,Pahang
261,9/PH,PAHANG,SEMAMBU INDUSTRIAL ESTATE," 2,328.00 ", 216.80 ,Pahang
262,9/PH,PAHANG,GEBENG," 2,422.00 ", 216.80 ,Pahang
263,9/PH,PAHANG,PEKAN / BANDAR MUADZHAM SHAH," 2,444.00 ", 216.80 ,Pahang
264,9/PH,PAHANG,"SUNGAI LEMBING, PERGAU"," 2,530.00 ", 216.80 ,Pahang
265,9/PH,PAHANG,CHERATING," 2,535.00 ", 216.80 ,Pahang
266,9/PH,PAHANG,NENASI," 2,609.00 ", 216.80 ,Pahang
267,9/PH,PAHANG,BUKIT KIJAL," 2,660.00 ", 216.80 ,Pahang
268,9/PH,PAHANG,GENTING HIGHLANDS," 2,708.00 ", 99.00 ,Pahang
269,9/PN,PENANG,NIBONG TEBAL," 2,657.00 ", 194.80 ,Penang
270,9/PN,PENANG,BUKIT MERTAJAM," 2,775.00 ", 194.80 ,Penang
271,9/PN,PENANG,BUTTERWORTH / SEBERANG PRAI," 2,883.00 ", 194.80 ,Penang
272,9/PN,PENANG,PRAI," 2,883.00 ", 179.20 ,Penang
273,9/PN,PENANG,KEPALA BATAS," 2,948.00 ", 194.80 ,Penang
274,9/PN,PENANG,PENANG ISLAND (BRIDGE-RM75.00)/BAYAN LEPAS," 3,435.00 ", 269.80 ,Penang
275,9/KD,KEDAH,SERDANG - KEDAH," 2,739.00 ", 240.00 ,Kedah
276,9/KD,KEDAH,GURUN," 2,813.00 ", 221.40 ,Kedah
277,9/KD,KEDAH,KULIM KEDAH," 2,847.00 ", 240.00 ,Kedah
278,9/KD,KEDAH,KERLING / KUALA KETIL," 3,120.00 ", 221.40 ,Kedah
279,9/KD,KEDAH,SUNGAI PETANI," 3,274.00 ", 212.40 ,Kedah
280,9/KD,KEDAH,KUALA KEDAH," 3,296.00 ", 212.40 ,Kedah
281,9/KD,KEDAH,BALING," 3,300.00 ", 240.00 ,Kedah
282,9/KD,KEDAH,KUALA NERANG," 3,401.00 ", 253.00 ,Kedah
283,9/KD,KEDAH,SIK / ALOR SETAR," 3,480.00 ", 240.00 ,Kedah
284,9/KD,KEDAH,JITRA," 3,564.00 ", 253.00 ,Kedah
285,9/KD,KEDAH,BUKIT KAYU HITAM," 4,150.00 ", 267.00 ,Kedah
286,9/KD,PERLIS,CHANGLUN," 3,423.00 ", 252.60 ,Perlis
287,9/KD,PERLIS,KODIANG," 3,423.00 ", 252.60 ,Perlis
288,9/KD,PERLIS,KANGAR / KUALA PERLIS / PADANG BESAR," 3,488.00 ", 240.00 ,Perlis
289,9/TR,TERENGGANU,KEMASIK," 2,724.00 ", 216.80 ,Terengganu
290,9/TR,TERENGGANU,CUKAI," 2,595.00 ", 216.80 ,Terengganu
291,9/TR,TERENGGANU,KEMAMAN," 2,640.00 ", 216.80 ,Terengganu
292,9/TR,TERENGGANU,TANJONG BERHALA," 2,640.00 ", 216.80 ,Terengganu
293,9/TR,TERENGGANU,TELOK KALUNG," 2,640.00 ", 216.80 ,Terengganu
294,9/TR,TERENGGANU,KERTEH," 2,782.00 ", 216.80 ,Terengganu
295,9/TR,TERENGGANU,PAKA," 2,847.00 ", 216.80 ,Terengganu
296,9/TR,TERENGGANU,DUNGUN," 2,940.00 ", 216.80 ,Terengganu
297,9/TR,TERENGGANU,KUALA DUNGUN," 2,940.00 ", 216.80 ,Terengganu
298,9/TR,TERENGGANU,"MARANG, RUSILA"," 3,192.00 ", 216.80 ,Terengganu
299,9/TR,TERENGGANU,KAMPONG AGIL," 3,221.00 ", 216.80 ,Terengganu
300,9/TR,TERENGGANU,KUALA TERENGGANU," 3,250.00 ", 216.80 ,Terengganu
301,9/TR,TERENGGANU,BUKIT PAYUNG," 3,310.00 ", 216.80 ,Terengganu
302,9/TR,TERENGGANU,KUALA BRANG," 3,394.00 ", 216.80 ,Terengganu
303,9/TR,TERENGGANU,JERTEH," 3,711.00 ", 216.80 ,Terengganu
304,9/TR,TERENGGANU,BESUT," 3,747.00 ", 216.80 ,Terengganu
305,9/KT,KELANTAN,PASIR PUTIH," 3,783.00 ", 216.80 ,Kelantan
306,9/KT,KELANTAN,MACHANG," 3,891.00 ", 216.80 ,Kelantan
307,9/KT,KELANTAN,PERINGAT," 3,898.00 ", 216.80 ,Kelantan
308,9/KT,KELANTAN,KOTA BHARU," 3,963.00 ", 216.80 ,Kelantan
309,9/KT,KELANTAN,BACHOK," 3,992.00 ", 216.80 ,Kelantan
310,9/KT,KELANTAN,KUALA KRAI," 4,020.00 ", 216.80 ,Kelantan
311,9/KT,KELANTAN,PENGKALAN CHEPA," 4,020.00 ", 216.80 ,Kelantan
312,9/KT,KELANTAN,TUMPAT," 4,028.00 ", 216.80 ,Kelantan
313,9/KT,KELANTAN,PASIR MAS," 4,056.00 ", 216.80 ,Kelantan
314,9/KT,KELANTAN,RANTAU PANJANG," 4,148.00 ", 216.80 ,Kelantan
315,9/KT,KELANTAN,TANAH MERAH," 4,155.00 ", 216.80 ,Kelantan
316,9/KT,KELANTAN,JELI," 4,244.00 ", 216.80 ,Kelantan
317,9/KT,KELANTAN,GUA MUSANG," 4,517.00 ", 216.80 ,Kelantan